Delivery_ID,Truck_ID,Delivery_Date,Distance_KM,Was_Delayed,Delay_Hours,Penalty_Fees_USD
D00174,T001,2024-02-17,968,No,0,0
D00175,T001,2024-02-11,646,No,0,0
D00176,T001,2023-04-28,1405,No,0,0
D00177,T001,2024-03-10,671,No,0,0
D00178,T001,2023-08-11,1072,No,0,0
D00179,T001,2023-11-27,652,No,0,0
D00180,T001,2023-12-11,645,No,0,0
D00181,T001,2024-05-19,757,No,0,0
D00182,T001,2024-07-28,801,Yes,4,622
D00183,T001,2023-12-27,705,No,0,0
D00184,T001,2023-01-23,770,No,0,0
D00185,T001,2023-12-25,318,No,0,0
D00186,T001,2024-03-19,1061,No,0,0
D00187,T001,2024-01-11,135,No,0,0
D00188,T001,2023-10-10,65,No,0,0
D00189,T001,2024-08-22,1274,No,0,0
D00190,T001,2023-01-06,383,Yes,1,0
D00191,T001,2023-01-21,1113,No,0,0
D00192,T001,2023-08-27,1130,No,0,0
D00193,T001,2024-10-15,757,No,0,0
D00194,T001,2023-08-27,318,No,0,0
D00195,T001,2023-11-03,243,No,0,0
D00196,T001,2024-03-26,699,No,0,0
D00197,T001,2024-09-21,454,No,0,0
D00198,T001,2024-12-15,932,No,0,0
D00199,T001,2023-09-20,1029,No,0,0
D00200,T001,2024-03-11,68,No,0,0
D00201,T001,2024-06-13,813,No,0,0
D00202,T001,2023-07-19,493,No,0,0
D00203,T001,2023-04-15,468,No,0,0
D00204,T001,2024-05-13,1071,No,0,0
D00205,T001,2023-06-15,1242,No,0,0
D00206,T001,2024-03-16,1244,No,0,0
D00207,T001,2024-10-15,281,No,0,0
D00208,T001,2024-12-06,278,No,0,0
D00209,T001,2024-04-16,561,No,0,0
D00210,T001,2023-10-31,1210,Yes,20,2282
D00211,T001,2024-04-24,194,No,0,0
D00212,T001,2023-01-15,1052,No,0,0
D00213,T001,2024-08-18,869,No,0,0
D00214,T001,2024-11-19,779,No,0,0
D00215,T001,2024-10-07,1261,No,0,0
D00216,T001,2023-04-10,371,No,0,0
D00217,T001,2024-12-24,640,No,0,0
D00218,T001,2023-08-09,1434,No,0,0
D00219,T001,2023-10-25,461,No,0,0
D00220,T001,2023-10-15,793,Yes,11,1205
D00221,T001,2024-04-05,1440,No,0,0
D00222,T001,2024-07-21,53,No,0,0
D00223,T001,2024-05-03,695,No,0,0
D00224,T001,2023-06-16,363,No,0,0
D00225,T001,2023-01-22,232,No,0,0
D00226,T001,2023-02-05,1045,No,0,0
D00227,T001,2024-11-18,706,No,0,0
D00228,T001,2023-11-07,403,Yes,2,414
D00229,T001,2023-01-13,1337,No,0,0
D00230,T001,2024-11-05,465,No,0,0
D00231,T001,2024-05-13,374,No,0,0
D00232,T001,2024-01-14,1457,No,0,0
D00233,T001,2023-11-21,1260,No,0,0
D00234,T001,2023-07-17,1276,Yes,9,4666
D00235,T001,2023-09-25,930,No,0,0
D00236,T001,2024-01-17,1200,No,0,0
D00237,T001,2024-02-16,1347,No,0,0
D00238,T001,2024-06-24,1101,No,0,0
D00239,T001,2024-09-02,1071,Yes,9,1090
D00240,T001,2023-03-15,1218,No,0,0
D00241,T001,2024-06-16,1399,No,0,0
D00242,T001,2024-05-19,667,No,0,0
D00243,T001,2023-08-22,1432,No,0,0
D00244,T001,2024-09-29,1481,No,0,0
D00245,T001,2023-03-12,831,No,0,0
D00246,T001,2024-10-23,1034,Yes,11,1639
D00247,T001,2024-12-03,1370,No,0,0
D00248,T001,2023-11-24,1283,Yes,1,0
D00249,T001,2023-10-01,1158,No,0,0
D00250,T001,2023-01-02,1452,No,0,0
D00251,T001,2024-06-03,65,No,0,0
D00252,T001,2024-10-30,526,No,0,0
D00253,T001,2023-10-02,696,No,0,0
D00254,T001,2024-01-22,526,Yes,6,914
D00255,T001,2024-07-27,1018,No,0,0
D00256,T001,2024-12-04,1288,No,0,0
D00257,T001,2023-05-28,94,No,0,0
D00258,T001,2024-12-26,625,No,0,0
D00259,T001,2024-09-23,985,No,0,0
D00260,T001,2024-03-11,390,No,0,0
D00261,T001,2024-11-18,397,No,0,0
D00262,T001,2024-12-22,989,No,0,0
D00263,T001,2024-07-26,878,No,0,0
D00264,T001,2024-11-18,446,No,0,0
D00265,T001,2024-12-22,1392,No,0,0
D00266,T001,2024-12-23,588,No,0,0
D00267,T001,2023-03-05,1251,Yes,4,1155
D00268,T001,2024-07-01,750,No,0,0
D00269,T001,2024-06-13,1116,No,0,0
D00270,T001,2023-11-12,987,No,0,0
D00271,T001,2023-10-30,1345,Yes,20,2790
D00272,T001,2023-08-22,1363,No,0,0
D00273,T001,2024-09-25,664,No,0,0
D00274,T001,2023-11-14,70,No,0,0
D00275,T001,2024-08-14,1429,No,0,0
D00276,T001,2024-05-08,345,No,0,0
D00277,T001,2023-07-25,898,Yes,12,4346
D00278,T001,2024-04-15,924,No,0,0
D00279,T001,2023-12-10,1228,No,0,0
D00280,T001,2023-07-17,1294,No,0,0
D00281,T001,2023-09-15,106,No,0,0
D00282,T001,2024-12-09,1467,No,0,0
D00283,T001,2024-08-09,515,No,0,0
D00284,T001,2023-03-10,320,No,0,0
D00285,T001,2023-03-12,1179,No,0,0
D00286,T001,2023-12-29,787,No,0,0
D00287,T001,2024-10-07,280,No,0,0
D00288,T001,2023-03-02,222,No,0,0
D00289,T001,2024-08-17,1482,No,0,0
D00290,T001,2023-12-18,1308,No,0,0
D00291,T001,2024-10-16,1358,No,0,0
D00292,T001,2024-07-22,1306,No,0,0
D00293,T001,2023-01-14,669,No,0,0
D00294,T001,2023-07-23,1227,No,0,0
D00295,T001,2023-02-17,72,No,0,0
D00296,T001,2024-10-02,1303,No,0,0
D00297,T001,2024-03-09,384,No,0,0
D00298,T001,2023-02-12,348,No,0,0
D00299,T001,2023-10-12,799,No,0,0
D00300,T001,2023-08-01,51,No,0,0
D00301,T001,2023-11-22,489,No,0,0
D00302,T001,2023-12-20,926,No,0,0
D00303,T001,2024-06-19,759,No,0,0
D00304,T001,2024-08-07,1048,No,0,0
D00305,T001,2023-09-01,856,No,0,0
D00306,T001,2023-10-06,1299,No,0,0
D00307,T001,2023-11-28,1050,No,0,0
D00308,T001,2023-02-08,1172,No,0,0
D00309,T001,2023-01-18,463,No,0,0
D00310,T001,2023-07-19,1359,No,0,0
D00311,T001,2023-12-02,1181,No,0,0
D00312,T001,2023-08-12,427,No,0,0
D00313,T001,2023-09-01,621,No,0,0
D00314,T001,2023-02-25,1122,No,0,0
D00315,T001,2023-12-12,906,No,0,0
D00316,T001,2023-10-29,1287,No,0,0
D00317,T001,2023-09-29,1061,No,0,0
D00318,T001,2023-05-18,1157,No,0,0
D00319,T001,2023-09-17,191,No,0,0
D00320,T001,2024-09-20,650,No,0,0
D00321,T001,2024-11-09,497,No,0,0
D00322,T001,2023-12-11,1402,No,0,0
D00323,T001,2024-04-07,1456,No,0,0
D00324,T001,2024-09-01,1433,No,0,0
D00325,T001,2023-08-09,472,No,0,0
D00326,T001,2024-07-07,162,No,0,0
D00327,T001,2023-04-26,904,No,0,0
D00328,T001,2023-08-03,915,No,0,0
D00329,T001,2024-04-18,74,No,0,0
D00330,T001,2023-02-19,623,No,0,0
D00331,T001,2023-05-08,664,Yes,17,3875
D00332,T001,2023-01-10,884,No,0,0
D00333,T001,2023-08-09,745,No,0,0
D00334,T001,2023-03-19,1465,No,0,0
D00335,T001,2023-02-05,633,No,0,0
D00336,T001,2024-08-29,573,No,0,0
D00337,T001,2023-10-20,1302,No,0,0
D00338,T001,2024-06-11,180,No,0,0
D00339,T001,2024-11-25,855,Yes,9,2396
D00340,T001,2023-12-27,155,No,0,0
D00341,T001,2024-04-26,1055,No,0,0
D00342,T001,2023-02-16,373,No,0,0
D00343,T001,2024-05-27,93,No,0,0
D00344,T001,2024-04-25,99,No,0,0
D00345,T001,2024-01-10,1273,No,0,0
D00346,T001,2023-12-05,373,No,0,0
D00347,T001,2024-05-13,489,No,0,0
D00348,T001,2023-12-05,563,No,0,0
D00349,T001,2023-05-28,627,No,0,0
D00350,T001,2023-09-04,881,No,0,0
D00351,T001,2023-03-30,357,No,0,0
D00352,T001,2024-04-17,702,No,0,0
D00353,T001,2024-05-09,480,No,0,0
D00354,T001,2024-07-23,193,No,0,0
D00355,T001,2023-08-02,157,No,0,0
D00356,T001,2024-01-18,785,No,0,0
D00357,T001,2023-06-04,586,No,0,0
D00358,T001,2023-11-11,1381,No,0,0
D00359,T001,2024-07-07,946,No,0,0
D00360,T001,2024-05-03,355,No,0,0
D00361,T001,2024-12-10,1036,Yes,4,527
D00362,T001,2023-06-21,740,No,0,0
D00363,T001,2023-08-17,448,No,0,0
D00364,T001,2023-06-04,110,No,0,0
D00365,T001,2024-08-11,942,No,0,0
D00366,T001,2024-02-09,634,Yes,2,426
D00367,T001,2024-04-06,1177,No,0,0
D00368,T001,2024-03-22,716,No,0,0
D00369,T001,2023-06-18,521,No,0,0
D00370,T001,2023-03-30,62,No,0,0
D00371,T001,2023-06-23,603,No,0,0
D00372,T001,2024-05-10,97,No,0,0
D00373,T001,2024-05-29,1062,No,0,0
D00374,T001,2023-09-21,1195,No,0,0
D00375,T001,2024-08-28,1223,No,0,0
D00376,T001,2024-03-10,1404,Yes,13,3419
D00377,T001,2024-07-09,506,No,0,0
D00378,T001,2023-08-09,992,No,0,0
D00379,T001,2023-07-31,463,No,0,0
D00380,T001,2024-10-18,484,Yes,10,3742
D00381,T001,2024-05-09,1132,No,0,0
D00382,T001,2024-09-25,827,No,0,0
D00383,T001,2024-02-11,580,No,0,0
D00384,T001,2024-07-01,419,Yes,12,4019
D00385,T001,2024-04-30,91,No,0,0
D00386,T001,2024-02-23,94,No,0,0
D00387,T001,2023-02-06,1232,No,0,0
D00388,T001,2024-05-16,487,No,0,0
D00389,T001,2024-10-26,961,No,0,0
D00390,T001,2024-01-04,134,No,0,0
D00391,T001,2024-10-22,445,Yes,15,3495
D00392,T001,2023-03-22,365,No,0,0
D00393,T001,2023-11-15,1017,No,0,0
D00394,T001,2024-04-28,89,No,0,0
D00395,T001,2023-06-27,1390,Yes,8,4438
D00396,T001,2024-02-28,1485,No,0,0
D00397,T001,2024-01-10,1417,No,0,0
D00398,T001,2023-08-22,69,No,0,0
D00399,T001,2024-04-05,251,No,0,0
D00400,T001,2024-05-20,678,No,0,0
D00401,T001,2024-07-20,1119,Yes,10,1419
D00402,T001,2023-06-27,1056,No,0,0
D00403,T001,2024-02-07,628,No,0,0
D00404,T001,2023-01-30,1442,No,0,0
D00405,T001,2023-05-10,859,No,0,0
D00406,T001,2023-05-27,385,No,0,0
D00407,T001,2023-05-08,207,No,0,0
D00408,T001,2023-11-04,1322,No,0,0
D00409,T001,2023-11-26,720,No,0,0
D00410,T001,2023-06-08,897,No,0,0
D00411,T001,2023-04-14,375,No,0,0
D00412,T001,2023-07-09,1355,Yes,3,216
D00413,T001,2024-11-06,1093,No,0,0
D00414,T001,2024-04-22,912,No,0,0
D00415,T001,2024-08-07,408,No,0,0
D00416,T001,2023-05-12,1095,Yes,15,3879
D00417,T001,2024-02-27,800,No,0,0
D00418,T001,2024-09-17,140,No,0,0
D00419,T001,2024-07-21,770,No,0,0
D00420,T001,2023-05-26,659,No,0,0
D00421,T001,2024-11-29,691,No,0,0
D00422,T001,2024-05-08,202,No,0,0
D00423,T001,2023-01-19,361,No,0,0
D00424,T001,2023-04-01,173,No,0,0
D00425,T001,2024-12-28,916,Yes,17,2028
D00426,T001,2023-02-28,1085,No,0,0
D00427,T001,2024-12-20,1059,No,0,0
D00428,T001,2024-09-22,241,No,0,0
D00429,T001,2024-06-03,240,No,0,0
D00430,T001,2024-03-24,681,No,0,0
D00431,T001,2023-10-14,1201,No,0,0
D00432,T001,2024-05-01,841,No,0,0
D00433,T001,2023-03-17,209,No,0,0
D00434,T001,2023-06-21,1125,No,0,0
D00435,T001,2024-05-24,986,No,0,0
D00436,T001,2024-09-19,586,No,0,0
D00437,T001,2024-11-15,1496,Yes,6,1089
D00438,T001,2023-01-03,253,No,0,0
D00439,T001,2024-08-23,539,No,0,0
D00440,T001,2023-02-15,1366,No,0,0
D00441,T001,2024-12-08,420,No,0,0
D00442,T001,2023-07-13,1345,No,0,0
D00443,T001,2023-03-27,824,No,0,0
D00444,T001,2024-06-27,1434,No,0,0
D00445,T001,2024-04-14,700,No,0,0
D00446,T001,2023-07-24,318,No,0,0
D00447,T001,2024-11-02,1199,No,0,0
D00448,T001,2024-03-31,821,No,0,0
D00449,T001,2023-04-01,1190,No,0,0
D00450,T001,2023-10-14,190,No,0,0
D00451,T001,2023-05-15,885,No,0,0
D00452,T001,2023-10-16,1275,No,0,0
D00453,T001,2024-01-04,1092,No,0,0
D00454,T001,2024-12-18,1065,No,0,0
D00455,T001,2024-11-16,1002,No,0,0
D00456,T001,2024-10-26,221,No,0,0
D00457,T001,2024-11-11,1037,No,0,0
D00458,T001,2023-12-08,259,No,0,0
D00459,T001,2024-11-14,1442,No,0,0
D00460,T001,2023-02-28,370,No,0,0
D00461,T001,2024-08-03,1433,No,0,0
D00462,T001,2024-05-06,1114,No,0,0
D00463,T001,2023-05-27,187,No,0,0
D00464,T001,2023-02-01,867,No,0,0
D00465,T001,2023-02-03,521,No,0,0
D00466,T001,2024-08-11,1125,Yes,5,404
D00467,T001,2023-12-01,500,No,0,0
D00468,T001,2023-01-03,304,No,0,0
D00469,T001,2024-06-26,1061,No,0,0
D00470,T001,2024-12-01,130,No,0,0
D00471,T001,2023-07-02,122,No,0,0
D00472,T001,2023-04-13,1382,No,0,0
D00473,T001,2023-01-06,479,No,0,0
D00474,T001,2023-10-06,1167,No,0,0
D00475,T001,2024-08-01,797,No,0,0
D00476,T001,2023-09-03,265,No,0,0
D00477,T001,2023-04-06,328,No,0,0
D00478,T001,2023-07-11,1215,No,0,0
D00479,T001,2024-06-01,885,No,0,0
D00480,T001,2024-08-15,209,No,0,0
D00481,T001,2023-02-28,95,No,0,0
D00482,T001,2023-03-31,1266,Yes,18,3768
D00483,T001,2023-09-06,1167,No,0,0
D00484,T001,2024-02-10,1135,No,0,0
D00485,T001,2024-06-20,1155,No,0,0
D00486,T001,2023-10-10,1139,No,0,0
D00487,T001,2024-03-05,544,No,0,0
D00488,T001,2023-05-05,1419,No,0,0
D00489,T001,2023-04-17,407,No,0,0
D00490,T001,2024-06-18,813,No,0,0
D00491,T001,2024-05-17,988,No,0,0
D00492,T001,2024-01-26,647,Yes,7,815
D00493,T001,2023-01-19,115,No,0,0
D00494,T001,2023-03-09,916,No,0,0
D00495,T001,2023-12-19,423,Yes,5,815
D00496,T001,2024-10-28,61,No,0,0
D00497,T001,2023-04-10,1401,No,0,0
D00498,T001,2024-03-17,1029,No,0,0
D00499,T003,2024-07-06,615,Yes,20,2357
D00500,T003,2024-10-10,889,No,0,0
D00501,T003,2024-03-16,186,No,0,0
D00502,T003,2023-07-14,147,No,0,0
D00503,T003,2023-10-05,465,No,0,0
D00504,T003,2023-12-02,749,No,0,0
D00505,T003,2024-01-20,383,Yes,11,1251
D00506,T003,2023-09-27,1157,Yes,18,4750
D00507,T003,2023-07-21,1385,Yes,3,74
D00508,T003,2024-02-04,165,No,0,0
D00509,T003,2023-07-10,1337,No,0,0
D00510,T003,2023-12-12,287,No,0,0
D00511,T003,2024-04-23,174,No,0,0
D00512,T003,2024-12-06,1032,No,0,0
D00513,T003,2023-08-09,1451,No,0,0
D00514,T003,2023-08-30,1156,Yes,7,452
D00515,T003,2024-06-29,920,No,0,0
D00516,T003,2023-06-09,983,No,0,0
D00517,T003,2024-03-31,383,Yes,19,2226
D00518,T003,2024-02-19,123,No,0,0
D00519,T003,2023-08-04,279,No,0,0
D00520,T003,2024-05-28,933,No,0,0
D00521,T003,2024-03-04,1153,No,0,0
D00522,T003,2023-04-22,550,No,0,0
D00523,T003,2024-11-18,722,Yes,16,4320
D00524,T003,2023-07-01,1414,Yes,4,942
D00525,T003,2024-03-25,1091,No,0,0
D00526,T003,2024-04-19,299,No,0,0
D00527,T003,2023-04-12,183,No,0,0
D00528,T003,2024-05-14,458,Yes,14,2921
D00529,T003,2024-01-30,595,No,0,0
D00530,T003,2024-10-22,180,No,0,0
D00531,T003,2023-08-22,221,No,0,0
D00532,T003,2023-05-17,621,No,0,0
D00533,T003,2024-02-16,804,No,0,0
D00534,T003,2023-03-28,802,No,0,0
D00535,T003,2024-04-01,209,No,0,0
D00536,T003,2023-12-22,1498,No,0,0
D00537,T003,2024-04-29,744,No,0,0
D00538,T003,2023-09-17,463,No,0,0
D00539,T003,2023-10-05,1388,No,0,0
D00540,T003,2024-05-29,1234,No,0,0
D00541,T003,2023-12-17,993,No,0,0
D00542,T003,2023-05-12,1430,No,0,0
D00543,T003,2023-03-24,1215,No,0,0
D00544,T003,2024-01-03,355,No,0,0
D00545,T003,2023-03-08,1351,Yes,6,1416
D00546,T003,2024-09-28,70,No,0,0
D00547,T003,2024-04-02,997,No,0,0
D00548,T003,2023-07-31,1166,No,0,0
D00549,T003,2023-10-25,766,No,0,0
D00550,T003,2024-06-13,870,No,0,0
D00551,T003,2023-08-22,1269,No,0,0
D00552,T003,2024-01-14,1497,No,0,0
D00553,T003,2023-05-16,297,No,0,0
D00554,T003,2024-10-11,708,No,0,0
D00555,T003,2024-12-20,927,No,0,0
D00556,T003,2023-05-16,1396,No,0,0
D00557,T003,2024-10-30,1289,No,0,0
D00558,T003,2024-10-21,969,No,0,0
D00559,T003,2024-10-15,1444,No,0,0
D00560,T003,2024-06-25,1484,No,0,0
D00561,T003,2024-05-13,641,No,0,0
D00562,T003,2024-07-07,282,No,0,0
D00563,T003,2024-04-01,1227,No,0,0
D00564,T003,2024-01-27,830,Yes,5,395
D00565,T003,2023-10-29,1226,No,0,0
D00566,T003,2023-07-30,126,No,0,0
D00567,T003,2024-07-07,513,No,0,0
D00568,T003,2023-05-12,516,No,0,0
D00569,T003,2024-03-25,132,No,0,0
D00570,T003,2024-01-08,508,No,0,0
D00571,T003,2023-10-28,540,No,0,0
D00572,T003,2024-05-09,1188,No,0,0
D00573,T003,2024-10-05,280,No,0,0
D00574,T003,2023-07-09,1054,No,0,0
D00575,T003,2024-02-09,944,No,0,0
D00576,T003,2023-11-25,940,No,0,0
D00577,T003,2023-11-21,1104,No,0,0
D00578,T003,2024-05-20,721,No,0,0
D00579,T003,2024-08-08,167,No,0,0
D00580,T003,2023-03-12,1287,No,0,0
D00581,T003,2024-01-13,738,Yes,8,3388
D00582,T003,2024-02-25,1478,No,0,0
D00583,T003,2023-07-26,963,No,0,0
D00584,T003,2023-04-28,1117,No,0,0
D00585,T003,2023-01-03,499,No,0,0
D00586,T003,2023-10-20,69,Yes,5,1214
D00587,T003,2024-07-18,574,No,0,0
D00588,T003,2023-06-14,1261,No,0,0
D00589,T003,2024-02-27,662,No,0,0
D00590,T003,2023-01-08,750,No,0,0
D00591,T003,2023-02-21,509,No,0,0
D00592,T003,2023-10-15,360,Yes,12,3533
D00593,T003,2023-11-04,761,No,0,0
D00594,T003,2023-10-30,414,No,0,0
D00595,T003,2023-12-01,828,Yes,5,1186
D00596,T003,2023-03-03,578,No,0,0
D00597,T003,2023-10-06,76,No,0,0
D00598,T003,2023-11-30,104,No,0,0
D00599,T003,2024-10-19,1077,Yes,17,4675
D00600,T003,2024-12-24,132,No,0,0
D00601,T003,2023-03-24,1269,No,0,0
D00602,T003,2023-01-14,358,Yes,1,0
D00603,T003,2024-12-05,426,No,0,0
D00604,T003,2023-03-14,1219,No,0,0
D00605,T003,2023-06-28,1105,No,0,0
D00606,T003,2023-12-28,840,No,0,0
D00607,T003,2023-05-31,728,No,0,0
D00608,T003,2024-12-02,1498,No,0,0
D00609,T003,2023-09-04,238,No,0,0
D00610,T003,2024-01-16,1146,No,0,0
D00611,T003,2023-05-21,828,No,0,0
D00612,T003,2024-07-22,1154,Yes,8,4854
