Fuel_ID,Truck_ID,Date,Litres_Consumed,Distance_Covered_KM,Fuel_Efficiency_KMPL
F00185,T004,2024-09-22,1527,5024,3.29
F00186,T004,2024-12-12,2379,7828,3.29
F00187,T004,2024-12-08,1715,5642,3.29
F00188,T004,2024-12-24,2294,7546,3.29
F00189,T004,2023-08-21,2153,7084,3.29
F00190,T004,2023-08-23,2013,6623,3.29
F00191,T004,2023-08-14,1418,4665,3.29
F00192,T004,2023-08-10,1978,6508,3.29
F00193,T004,2023-09-10,1444,4752,3.29
F00194,T004,2023-09-03,1276,4199,3.29
F00195,T004,2023-09-17,929,3057,3.29
F00196,T004,2024-04-05,2140,7042,3.29
F00197,T004,2024-04-05,1681,5529,3.29
F00198,T004,2024-04-18,2211,7274,3.29
F00199,T004,2024-04-07,1327,4365,3.29
F00200,T004,2024-10-19,1388,4568,3.29
F00201,T004,2024-09-30,990,3257,3.29
F00202,T004,2024-10-22,1556,5118,3.29
F00203,T004,2024-10-07,1247,4103,3.29
F00204,T004,2023-10-01,1219,4009,3.29
F00205,T004,2023-10-13,1154,3798,3.29
F00206,T004,2023-10-22,1796,5908,3.29
F00207,T004,2023-10-13,1587,5222,3.29
F00208,T004,2024-02-13,1671,5496,3.29
F00209,T004,2024-02-20,2031,6682,3.29
F00210,T004,2024-02-02,1965,6466,3.29
F00211,T004,2023-02-12,1114,3664,3.29
F00212,T004,2023-02-24,1195,3932,3.29
F00213,T004,2023-02-01,1602,5272,3.29
F00214,T004,2024-03-22,1616,5315,3.29
F00215,T004,2024-03-01,1333,4384,3.29
F00216,T004,2024-02-29,1832,6028,3.29
F00217,T004,2024-03-14,1549,5096,3.29
F00218,T004,2024-07-11,1867,6144,3.29
F00219,T004,2024-07-07,1556,5120,3.29
F00220,T004,2024-07-18,1758,5783,3.29
F00221,T004,2023-01-05,1891,6221,3.29
F00222,T004,2023-01-21,1846,6072,3.29
F00223,T004,2023-01-19,1861,6122,3.29
F00224,T004,2023-06-22,1220,4014,3.29
F00225,T004,2023-06-09,1716,5646,3.29
F00226,T004,2023-06-08,979,3220,3.29
F00227,T004,2023-11-24,1545,5082,3.29
F00228,T004,2023-11-05,1622,5336,3.29
F00229,T004,2023-11-21,1653,5437,3.29
F00230,T004,2023-11-16,1730,5691,3.29
F00231,T004,2023-05-18,1895,6233,3.29
F00232,T004,2023-05-12,1067,3512,3.29
F00233,T004,2023-05-18,1774,5837,3.29
F00234,T004,2023-05-22,1158,3809,3.29
F00235,T004,2023-07-23,1781,5861,3.29
F00236,T004,2023-07-08,1736,5712,3.29
F00237,T004,2023-07-14,1616,5315,3.29
F00238,T006,2023-04-05,1522,3928,2.58
F00239,T006,2023-04-27,2110,5443,2.58
F00240,T006,2023-04-09,2088,5387,2.58
F00241,T006,2023-04-12,2567,6622,2.58
F00242,T006,2024-02-24,785,2026,2.58
F00243,T006,2024-02-04,635,1639,2.58
F00244,T006,2024-02-13,840,2167,2.58
F00245,T006,2024-10-27,1171,3021,2.58
F00246,T006,2024-10-18,1633,4214,2.58
F00247,T006,2024-10-10,1818,4691,2.58
F00248,T006,2024-07-24,1647,4249,2.58
F00249,T006,2024-07-20,1668,4304,2.58
F00250,T006,2024-07-22,1928,4975,2.58
F00251,T006,2024-07-01,1864,4808,2.58
F00252,T006,2023-05-27,2572,6635,2.58
F00253,T006,2023-05-19,2328,6005,2.58
F00254,T006,2023-05-11,1995,5148,2.58
F00255,T006,2023-05-18,2572,6635,2.58
F00256,T006,2024-05-19,1719,4435,2.58
F00257,T006,2024-04-30,2107,5436,2.58
F00258,T006,2024-05-11,2255,5818,2.58
F00259,T006,2024-05-03,1479,3815,2.58
F00260,T006,2023-07-20,2471,6376,2.58
F00261,T006,2023-07-21,1880,4850,2.58
F00262,T006,2023-07-13,2514,6485,2.58
F00263,T006,2023-07-25,2471,6376,2.58
F00264,T006,2023-07-04,1521,3924,2.58
F00265,T006,2023-11-12,926,2388,2.58
F00266,T006,2023-11-01,664,1713,2.58
F00267,T006,2023-11-09,907,2340,2.58
F00268,T006,2023-06-20,1969,5081,2.58
F00269,T006,2023-06-20,1307,3372,2.58
F00270,T006,2023-06-07,1360,3510,2.58
F00271,T006,2023-06-08,1790,4619,2.58
F00272,T006,2023-01-21,2798,7220,2.58
F00273,T006,2023-01-22,2129,5492,2.58
F00274,T006,2023-01-01,2846,7343,2.58
F00275,T006,2023-03-03,2365,6101,2.58
F00276,T006,2023-03-04,2501,6453,2.58
F00277,T006,2023-03-27,1864,4810,2.58
F00278,T006,2023-03-19,2933,7567,2.58
F00279,T006,2023-02-27,1989,5131,2.58
F00280,T006,2023-02-25,2541,6556,2.58
F00281,T006,2023-02-16,1679,4333,2.58
F00282,T006,2023-09-04,1071,2763,2.58
F00283,T006,2023-09-22,1591,4104,2.58
F00284,T006,2023-09-17,1713,4420,2.58
F00285,T006,2023-09-12,1988,5130,2.58
F00286,T006,2024-08-17,2401,6194,2.58
F00287,T006,2024-08-17,2293,5915,2.58
F00288,T006,2024-08-20,2725,7030,2.58
F00289,T006,2024-08-13,2509,6473,2.58
F00290,T006,2023-12-07,2022,5217,2.58
F00291,T006,2023-12-06,1959,5054,2.58
F00292,T006,2023-12-09,1980,5108,2.58
F00293,T006,2023-12-22,2422,6249,2.58
F00294,T006,2024-12-01,2390,6165,2.58
F00295,T006,2024-12-22,2413,6225,2.58
F00296,T006,2024-12-21,1647,4250,2.58
F00297,T006,2024-09-15,2361,6091,2.58
F00298,T006,2024-09-07,1880,4851,2.58
F00299,T006,2024-09-19,2444,6306,2.58
F00300,T006,2024-09-26,1650,4258,2.58
F00301,T006,2024-04-26,2803,7233,2.58
F00302,T006,2024-04-02,2252,5810,2.58
F00303,T006,2024-04-11,2803,7233,2.58
F00304,T006,2023-08-06,2458,6342,2.58
F00305,T006,2023-08-09,2672,6893,2.58
F00306,T006,2023-08-25,2202,5680,2.58
F00307,T006,2023-08-19,2031,5239,2.58
F00308,T006,2023-10-14,1135,2928,2.58
F00309,T006,2023-09-30,1005,2593,2.58
F00310,T006,2023-10-04,887,2288,2.58
F00311,T006,2024-01-17,2231,5756,2.58
F00312,T006,2024-01-23,1891,4878,2.58
F00313,T006,2024-01-22,1588,4098,2.58
F00314,T006,2024-01-27,1569,4049,2.58
F00315,T006,2024-11-06,1847,4765,2.58
F00316,T006,2024-11-17,2606,6724,2.58
F00317,T006,2024-11-01,2910,7507,2.58
F00318,T006,2024-06-06,1625,4192,2.58
F00319,T006,2024-06-14,1545,3985,2.58
F00320,T006,2024-06-05,2226,5744,2.58
F00321,T006,2024-03-09,2068,5336,2.58
F00322,T006,2024-03-23,2370,6114,2.58
F00323,T006,2024-03-15,2350,6062,2.58
F00324,T008,2024-05-02,2348,5752,2.45
F00325,T008,2024-05-03,2466,6042,2.45
F00326,T008,2024-05-23,2012,4930,2.45
F00327,T008,2024-05-20,1578,3867,2.45
F00328,T008,2024-12-10,1979,4849,2.45
F00329,T008,2024-12-15,2510,6150,2.45
F00330,T008,2024-12-15,2100,5145,2.45
F00331,T008,2024-12-02,1810,4435,2.45
F00332,T008,2024-10-10,2697,6607,2.45
F00333,T008,2024-10-16,2656,6506,2.45
F00334,T008,2024-10-08,1556,3812,2.45
F00335,T008,2024-09-14,1032,2528,2.45
F00336,T008,2024-09-25,1516,3714,2.45
F00337,T008,2024-09-24,1542,3777,2.45
F00338,T008,2024-06-17,2332,5714,2.45
F00339,T008,2024-06-24,2871,7033,2.45
F00340,T008,2024-06-01,1973,4835,2.45
F00341,T008,2024-06-25,2893,7088,2.45
F00342,T008,2023-08-12,1860,4557,2.45
F00343,T008,2023-08-17,2619,6416,2.45
F00344,T008,2023-08-08,2276,5576,2.45
F00345,T008,2023-08-14,2986,7315,2.45
F00346,T008,2023-11-15,2371,5810,2.45
F00347,T008,2023-11-18,1925,4717,2.45
F00348,T008,2023-10-31,3053,7479,2.45
F00349,T008,2023-11-24,2348,5753,2.45
F00350,T008,2024-01-14,2878,7052,2.45
F00351,T008,2024-01-13,3108,7614,2.45
F00352,T008,2024-01-10,3057,7489,2.45
F00353,T008,2024-11-22,1905,4668,2.45
F00354,T008,2024-11-23,1524,3734,2.45
F00355,T008,2024-11-18,1540,3773,2.45
F00356,T008,2024-07-04,1608,3940,2.45
F00357,T008,2024-07-17,1114,2730,2.45
F00358,T008,2024-07-24,1013,2482,2.45
F00359,T008,2023-06-05,1693,4149,2.45
F00360,T008,2023-06-12,2499,6122,2.45
F00361,T008,2023-06-24,2581,6324,2.45
F00362,T008,2023-06-25,2065,5059,2.45
F00363,T008,2023-02-10,2707,6631,2.45
F00364,T008,2023-02-15,2876,7045,2.45
F00365,T008,2023-02-25,2127,5210,2.45
F00366,T008,2023-02-18,1837,4500,2.45
F00367,T008,2023-03-23,1500,3674,2.45
F00368,T008,2023-03-11,1351,3311,2.45
F00369,T008,2023-03-10,1426,3493,2.45
F00370,T008,2023-12-19,2016,4939,2.45
F00371,T008,2023-12-01,1426,3494,2.45
F00372,T008,2023-12-08,1693,4147,2.45
F00373,T008,2023-11-30,2054,5032,2.45
F00374,T008,2024-08-27,2330,5709,2.45
F00375,T008,2024-08-04,2690,6591,2.45
F00376,T008,2024-08-01,2224,5450,2.45
F00377,T008,2024-08-27,2500,6124,2.45
F00378,T008,2023-05-10,2542,6229,2.45
F00379,T008,2023-05-01,2887,7073,2.45
F00380,T008,2023-05-23,2701,6618,2.45
F00381,T008,2024-02-17,941,2306,2.45
F00382,T008,2024-02-21,1020,2498,2.45
F00383,T008,2024-02-11,915,2242,2.45
F00384,T008,2023-10-14,2284,5596,2.45
F00385,T008,2023-10-01,1757,4305,2.45
F00386,T008,2023-10-06,2087,5112,2.45
F00387,T008,2023-07-25,1689,4138,2.45
F00388,T008,2023-07-17,1667,4083,2.45
F00389,T008,2023-07-10,2432,5959,2.45
F00390,T008,2023-06-30,1824,4469,2.45
F00391,T008,2024-03-03,1026,2514,2.45
F00392,T008,2024-03-25,1411,3457,2.45
F00393,T008,2024-03-05,1198,2934,2.45
F00394,T008,2023-09-26,1115,2731,2.45
F00395,T008,2023-09-26,1461,3580,2.45
F00396,T008,2023-09-26,1582,3876,2.45
F00397,T008,2023-01-01,1076,2636,2.45
F00398,T008,2023-01-04,1143,2801,2.45
F00399,T008,2023-01-21,840,2059,2.45
F00400,T008,2024-04-22,2202,5395,2.45
F00401,T008,2024-04-27,2147,5261,2.45
F00402,T008,2024-04-10,2111,5172,2.45
F00403,T008,2023-03-31,2523,6181,2.45
F00404,T008,2023-04-10,1556,3812,2.45
F00405,T008,2023-04-16,2586,6336,2.45
F00406,T010,2023-11-13,1488,4121,2.77
F00407,T010,2023-11-01,2023,5605,2.77
F00408,T010,2023-11-15,1984,5495,2.77
F00409,T010,2023-11-27,2559,7089,2.77
F00410,T010,2024-11-02,2725,7548,2.77
F00411,T010,2024-11-14,1892,5240,2.77
F00412,T010,2024-11-23,2117,5864,2.77
F00413,T010,2024-11-26,2342,6487,2.77
F00414,T010,2024-11-12,1982,5489,2.77
F00415,T010,2023-01-15,1751,4850,2.77
F00416,T010,2023-01-06,1444,4000,2.77
F00417,T010,2023-01-02,2328,6449,2.77
F00418,T010,2023-01-22,1715,4750,2.77
F00419,T010,2023-04-13,1761,4877,2.77
F00420,T010,2023-04-09,1610,4459,2.77
F00421,T010,2023-04-03,1459,4041,2.77
F00422,T010,2023-10-14,1742,4826,2.77
F00423,T010,2023-10-12,1468,4067,2.77
F00424,T010,2023-10-12,2408,6669,2.77
F00425,T010,2023-10-05,1840,5097,2.77
F00426,T010,2023-12-02,1812,5020,2.77
F00427,T010,2023-12-09,1581,4378,2.77
F00428,T010,2023-12-10,2655,7355,2.77
F00429,T010,2024-12-04,2625,7272,2.77
F00430,T010,2024-12-17,1805,5000,2.77
F00431,T010,2024-12-09,1702,4715,2.77
F00432,T010,2024-12-06,1825,5056,2.77
F00433,T010,2024-05-12,2645,7328,2.77
F00434,T010,2024-05-27,1827,5060,2.77
F00435,T010,2024-05-17,2625,7270,2.77
F00436,T010,2024-05-01,2100,5816,2.77
F00437,T010,2024-09-30,1331,3686,2.77
F00438,T010,2024-10-16,1793,4966,2.77
F00439,T010,2024-10-24,1904,5273,2.77
F00440,T010,2024-10-27,1830,5068,2.77
F00441,T010,2024-10-21,2199,6092,2.77
F00442,T010,2024-06-18,1971,5461,2.77
F00443,T010,2024-05-31,2493,6906,2.77
F00444,T010,2024-06-23,1469,4069,2.77
F00445,T010,2023-07-01,1827,5060,2.77
F00446,T010,2023-07-21,1201,3327,2.77
F00447,T010,2023-07-10,1252,3467,2.77
F00448,T010,2023-03-20,2022,5600,2.77
F00449,T010,2023-03-08,1389,3847,2.77
F00450,T010,2023-03-08,1828,5064,2.77
F00451,T010,2023-03-02,1301,3603,2.77
F00452,T010,2023-03-06,2074,5746,2.77
F00453,T010,2024-09-08,959,2657,2.77
F00454,T010,2024-09-05,868,2404,2.77
F00455,T010,2024-09-23,1199,3321,2.77
F00456,T010,2024-01-13,1887,5227,2.77
F00457,T010,2024-01-08,1694,4693,2.77
F00458,T010,2024-01-22,2503,6934,2.77
F00459,T010,2024-01-22,2368,6560,2.77
F00460,T010,2024-08-18,2107,5836,2.77
F00461,T010,2024-08-15,1799,4982,2.77
F00462,T010,2024-08-17,1816,5029,2.77
F00463,T010,2023-09-21,2263,6268,2.77
F00464,T010,2023-09-13,1795,4973,2.77
F00465,T010,2023-09-04,2001,5543,2.77
F00466,T010,2024-03-05,2445,6772,2.77
F00467,T010,2024-03-22,2582,7152,2.77
F00468,T010,2024-03-02,2171,6013,2.77
F00469,T010,2024-04-03,1313,3637,2.77
F00470,T010,2024-04-02,2019,5592,2.77
F00471,T010,2024-04-24,1461,4046,2.77
F00472,T010,2024-04-08,1969,5455,2.77
F00473,T010,2024-07-05,2143,5936,2.77
F00474,T010,2024-07-25,2216,6139,2.77
F00475,T010,2024-07-01,2363,6545,2.77
F00476,T010,2024-07-26,1978,5480,2.77
F00477,T010,2023-02-26,699,1936,2.77
F00478,T010,2023-01-31,880,2438,2.77
F00479,T010,2023-02-24,673,1865,2.77
F00480,T010,2023-05-15,1526,4227,2.77
F00481,T010,2023-05-11,2042,5655,2.77
F00482,T010,2023-05-07,2358,6533,2.77
F00483,T010,2023-08-01,1594,4414,2.77
F00484,T010,2023-08-11,1440,3988,2.77
F00485,T010,2023-08-07,1670,4626,2.77
F00486,T010,2023-08-22,1977,5477,2.77
F00487,T010,2024-01-31,2335,6468,2.77
F00488,T010,2024-02-15,2142,5933,2.77
F00489,T010,2024-02-22,2084,5773,2.77
F00490,T010,2024-02-25,1737,4811,2.77
F00491,T010,2023-06-05,1639,4541,2.77
F00492,T010,2023-06-24,1430,3962,2.77
F00493,T010,2023-06-19,2128,5894,2.77
F00494,T011,2023-08-22,1938,5154,2.66
F00495,T011,2023-08-02,1938,5154,2.66
F00496,T011,2023-08-01,1863,4956,2.66
F00497,T011,2023-09-19,1365,3631,2.66
F00498,T011,2023-08-31,2307,6137,2.66
F00499,T011,2023-09-12,1423,3785,2.66
F00500,T011,2023-09-02,2115,5626,2.66
F00501,T011,2024-03-17,1112,2958,2.66
F00502,T011,2024-03-22,1757,4674,2.66
F00503,T011,2024-03-25,1606,4272,2.66
F00504,T011,2024-09-10,2131,5669,2.66
F00505,T011,2024-09-11,1696,4511,2.66
F00506,T011,2024-09-04,1673,4450,2.66
F00507,T011,2023-06-19,2171,5776,2.66
F00508,T011,2023-06-15,2018,5367,2.66
F00509,T011,2023-06-04,2364,6287,2.66
F00510,T011,2023-12-27,1167,3104,2.66
F00511,T011,2023-12-09,1801,4790,2.66
F00512,T011,2023-12-27,1167,3104,2.66
F00513,T011,2023-07-06,1316,3501,2.66
F00514,T011,2023-07-18,1295,3446,2.66
F00515,T011,2023-07-25,1140,3033,2.66
F00516,T011,2023-03-02,2111,5616,2.66
F00517,T011,2023-03-10,2317,6163,2.66
F00518,T011,2023-03-01,2205,5864,2.66
F00519,T011,2023-03-18,2242,5964,2.66
F00520,T011,2023-03-11,1327,3529,2.66
F00521,T011,2024-04-25,1188,3161,2.66
F00522,T011,2024-03-31,1542,4102,2.66
F00523,T011,2024-04-23,1825,4855,2.66
F00524,T011,2024-10-09,1441,3833,2.66
F00525,T011,2024-10-26,1729,4600,2.66
F00526,T011,2024-10-04,2120,5640,2.66
F00527,T011,2024-06-14,1704,4533,2.66
F00528,T011,2024-06-18,1589,4228,2.66
F00529,T011,2024-06-13,1403,3733,2.66
F00530,T011,2023-10-08,1803,4797,2.66
F00531,T011,2023-10-25,1870,4974,2.66
F00532,T011,2023-10-03,2171,5774,2.66
F00533,T011,2024-01-10,973,2587,2.66
F00534,T011,2024-01-06,1262,3357,2.66
F00535,T011,2024-01-20,822,2187,2.66
F00536,T011,2023-05-18,403,1073,2.66
F00537,T011,2023-05-03,687,1827,2.66
F00538,T011,2023-05-25,458,1218,2.66
F00539,T011,2023-11-19,962,2560,2.66
F00540,T011,2023-10-31,1133,3015,2.66
F00541,T011,2023-11-14,1230,3271,2.66
F00542,T011,2024-02-05,916,2436,2.66
F00543,T011,2024-02-09,850,2262,2.66
F00544,T011,2024-02-23,664,1765,2.66
F00545,T011,2024-07-07,1857,4940,2.66
F00546,T011,2024-07-02,2161,5748,2.66
F00547,T011,2024-07-07,2143,5700,2.66
F00548,T011,2023-01-25,1514,4027,2.66
F00549,T011,2023-01-05,2342,6229,2.66
F00550,T011,2023-01-13,2059,5477,2.66
F00551,T011,2024-08-08,1524,4054,2.66
F00552,T011,2024-08-04,1416,3767,2.66
F00553,T011,2024-08-23,1133,3014,2.66
F00554,T011,2023-04-23,1778,4730,2.66
F00555,T011,2023-04-12,1974,5250,2.66
F00556,T011,2023-04-12,1352,3595,2.66
F00557,T011,2024-12-01,1783,4742,2.66
F00558,T011,2024-12-18,1686,4486,2.66
F00559,T011,2024-12-02,1944,5170,2.66
F00560,T011,2023-01-31,2176,5787,2.66
F00561,T011,2023-02-18,2094,5571,2.66
F00562,T011,2023-02-08,2603,6923,2.66
F00563,T011,2024-05-03,864,2297,2.66
F00564,T011,2024-05-13,607,1615,2.66
F00565,T011,2024-05-16,607,1615,2.66
F00566,T011,2024-11-02,1538,4090,2.66
F00567,T011,2024-11-26,1318,3506,2.66
F00568,T011,2024-11-12,1192,3172,2.66
F00569,T012,2023-11-05,2713,6484,2.39
F00570,T012,2023-11-06,3608,8623,2.39
F00571,T012,2023-11-11,3468,8289,2.39
F00572,T012,2023-01-26,2420,5784,2.39
F00573,T012,2023-01-11,2459,5876,2.39
F00574,T012,2023-01-27,2478,5922,2.39
F00575,T012,2023-02-21,2272,5430,2.39
F00576,T012,2023-02-25,3066,7327,2.39
F00577,T012,2023-02-10,2162,5168,2.39
F00578,T012,2023-08-10,1373,3281,2.39
F00579,T012,2023-08-20,1912,4570,2.39
F00580,T012,2023-08-20,2076,4961,2.39
